samples,method,bias,pct_bias,variance,scaled_bias,ci_bias,ci_pct_bias,ci_scaled_bias,coverage,ci_width,scaled_mse,ci_scaled_mse
100,plugin,-0.9726965623845105,-0.040040312400689136,,7.227269421215653,7.735549754375369,0.3184280080079331,9.85197424760538,,,,0
100,ipw,0.8407980420709638,0.03461081037222883,23.02124050759366,11.732369347625925,15.211210505112785,0.6261578833220915,23.88760032404832,0.815,17.52074307477917,111.88531616747248,20.79476416696723
100,onestep,0.4447475482560103,0.018307693745679882,8.591415001359806,6.9026900988934985,7.824993405861137,0.3221098877289522,10.378923934167037,0.83,11.239178861320859,41.443720719891736,12.65601036679226
100,tmle,0.5592138265994147,0.02301961082388823,8.591415001359806,7.166525597988934,8.749934925242423,0.3601844001931535,12.951015587994682,0.82,11.239178861320859,41.98560081540463,12.738480859234556
100,plugin_iid,-3.2757262768336357,-0.13484277475190307,,9.053153480847815,7.254663177370861,0.29863267869644017,11.253886081633372,,,,0
100,ipw_iid,-3.5196194728987416,-0.14488245222224352,2.6796247119225125,9.376923411363766,8.113967247997222,0.33400527562504134,14.002884841027475,0.4175,6.344089969253039,71.04694220807544,16.57067303914004
100,onestep_iid,-2.1923751778229086,-0.09024745271469832,2.241167697358322,7.68742838451755,7.1919551885350534,0.296051352144972,10.135837127377727,0.445,5.836420049882216,33.23185617130064,11.332996442932473
100,tmle_iid,-1.6553947444626318,-0.06814306257262266,2.241167697358322,8.059331211543839,9.784519344443762,0.4027722790360228,15.805969583283142,0.47,5.836420049882216,23.489226657843744,9.528001393449145
100,ols,-1.846314814668564,-0.0760021417040088,2.1259128774407166,7.451831450642552,7.3140881207927215,0.301078861186457,9.96867578811305,0.46,5.706354838810122,26.09815936186445,10.043206491949954
400,plugin,-0.14632240035876085,-0.006023250053666266,,4.9144046854758585,3.619839029490219,0.14900791386132256,7.30445768268949,,,,0
400,ipw,0.01671530349715895,0.0006880727246098791,8.504642068056773,8.39615218026884,7.79775117539443,0.32098848208143516,20.10995634081344,0.895,11.22664403740418,94.76856653137219,19.13813476595366
400,onestep,0.38489427476957566,0.015843879375116332,3.0979568767374333,4.959013606012384,3.644183453361325,0.1500100335096375,7.687038655044431,0.9325,6.874262893806299,36.17062078276419,11.823483071829243
400,tmle,0.39963165576295523,0.016450532427838463,3.0979568767374333,4.923740366125648,3.6250413900112988,0.14922206506586108,7.706483555256215,0.9375,6.874262893806299,36.29945215048488,11.844520608919137
400,plugin_iid,-3.1247926539939597,-0.1286297072404346,,10.642318093560164,3.3219139057086653,0.13674405328081016,10.280703103843294,,,,0
400,ipw_iid,-2.86073529768425,-0.11775998748690542,0.6936355156174797,9.905250877338043,4.364292099790497,0.17965275692461305,13.616592294574474,0.27,3.2506597644466937,98.91948467099954,19.55277376388173
400,onestep_iid,-2.213647334385412,-0.0911231048215702,0.5839266050779899,8.038143711857618,3.407455931062115,0.1402653255367163,9.518088184582673,0.3025,2.992542381144947,61.108863899181145,15.368078049520198
