samples,method,bias,pct_bias,variance,scaled_bias,ci_bias,ci_pct_bias,ci_scaled_bias,coverage,ci_width,scaled_mse,ci_scaled_mse
100,plugin,-0.8033882088740408,-0.04570558384187988,,4.064207557316922,4.321655391383958,0.24586343270265776,5.988228613704927,,,,0
100,ipw,0.16030600666159395,0.009119974063469457,7.2312478722585185,7.345368858589045,9.762023609814497,0.5553715920104342,15.516883373628808,0.78,9.71335743352055,34.21862197657123,11.500023046256251
100,onestep,0.09726473551125892,0.005533491125042273,3.0709880018221427,4.059841273689397,4.676292940025928,0.26603912862885437,6.27884277798463,0.825,6.6295131152438955,14.525215151287883,7.492534298312299
100,tmle,0.15409117827645058,0.008766406066475614,3.0709880018221427,4.217076840822618,5.2367051767603545,0.29792155880290316,7.799842866112597,0.8175,6.6295131152438955,14.592566796636934,7.509885190460226
100,plugin_iid,-1.9291070803587393,-0.10974889154133001,,5.25284836817288,4.047492740448838,0.23026603671126158,6.1909776394934175,,,,0
100,ipw_iid,-2.1286137197535235,-0.12109903003371565,1.3650971185541279,5.990228048087615,6.22597307717801,0.35420203001866735,11.248439524601919,0.5025,4.499753385531431,27.801804955589038,10.365826817581313
100,onestep_iid,-1.04449321719231,-0.05942229644814555,1.1370899264764502,4.246920181320545,4.21544109411227,0.23982079177821475,5.817154246284415,0.58,4.11977455983681,10.50593561404819,6.372132827581848
100,tmle_iid,-0.3675118627947278,-0.02090812893730614,1.1370899264764502,5.3380389413271265,8.785878400135642,0.49983768420594277,16.001395827679904,0.56,4.11977455983681,5.998582343826447,4.814949816984277
100,ols,-0.7904474490344466,-0.04496937066711205,1.0859757465442335,4.017501456165359,4.242556884008635,0.24136343703346902,5.8095056079398,0.6125,4.0506476565008676,8.066841726212138,5.583663282652306
400,plugin,-0.35752227449911267,-0.020339810955603364,,3.418382995124224,2.32216759071521,0.1321105093900758,4.50888886459042,,,,0
400,ipw,0.06971943424844229,0.003966410525139056,2.6408032975987847,5.481579471104916,5.274154810675017,0.300052107103,13.919198273404705,0.91,6.180934445833694,29.480083373840728,10.674113253352251
400,onestep,0.21853821537789755,0.01243286447981132,1.0401807264288065,3.1123393191241617,2.28231727781388,0.1298433839862943,4.75109559929759,0.9125,3.967161327823155,12.122684980474821,6.844896135877263
400,tmle,0.2500623597012686,0.01422630556532923,1.0401807264288065,3.1665322417752497,2.3529445730576746,0.13386144365985433,5.053727555338641,0.9025,3.967161327823155,12.287288883190607,6.891210040210917
400,plugin_iid,-1.6593298385356618,-0.09440098599756183,,5.737898453187287,1.9494251740192634,0.11090480884637688,5.801217448883044,,,,0
400,ipw_iid,-1.487996272388475,-0.08465364270079678,0.3654736672026002,5.567331153586113,3.447878945255463,0.19615338944280333,10.390528241558819,0.405,2.358988910082938,28.7440181660613,10.540014103786381
400,onestep_iid,-0.9694906237749545,-0.05515532154867597,0.30550985451618284,4.05730282398652,2.123944772795639,0.12083340882558755,5.202314239439868,0.47,2.157094525596332,13.877476811316784,7.323567822266147
400,tmle_iid,-0.6625384392053973,-0.03769249516869399,0.30550985451618284,4.42647158112874,3.7916620691743637,0.21571156595092061,10.160272660275963,0.495,2.157094525596332,8.295440971339534,5.662225891725242
400,ols,-0.6666903460434213,-0.03792870143111223,0.28722413411589526,3.50670025963524,2.118349495325523,0.12051508771917334,4.641823829860193,0.545,2.095698175632644,8.15318221918891,5.613465101575026
900,plugin,0.009248342449988409,0.000526147741001555,,2.943486035689666,1.6352584865495994,0.09303154195515016,4.295048112635153,,,,0
900,ipw,-0.01751687981435757,-0.0009965533600814625,1.235121485152968,4.1459083817545395,2.98904150659249,0.1700496542983758,10.353659551913179,0.94,4.308976783328454,24.029038912052382,9.636862290818758
900,onestep,0.18261829535952107,0.010389343181067776,0.48464036320414733,2.7101015588721555,1.4699467015923466,0.0836267840013287,4.010278557442725,0.94,2.7220207806900087,10.07488408369243,6.2400415533036595
900,tmle,0.19549357782364798,0.011121831280409914,0.48464036320414733,2.7062108222356636,1.466351098361765,0.0834222264249264,4.040484017028004,0.94,2.7220207806900087,10.169572298019505,6.269296311265058
900,plugin_iid,-1.451979059617859,-0.08260458631702758,,6.445995970764521,1.2882480610985578,0.07328976093413248,5.492253989083738,,,,0
900,ipw_iid,-1.2938472205747074,-0.073608302891874,0.16109783363848418,5.838359475877245,2.078189930968718,0.11823036868111843,8.83672938012489,0.2975,1.5695349771418377,35.69338068427351,11.745223750400806
900,onestep_iid,-0.9908716655192401,-0.056371711066565175,0.13540624243974486,4.575093764407976,1.3598245084373526,0.07736181884936141,5.371741734371734,0.35,1.4408905595682469,21.730141892620587,9.16428810019153
900,tmle_iid,-0.8997876811276282,-0.05118984924773434,0.13540624243974486,4.5406188498710325,1.7093032756900937,0.09724402638140063,6.160967773390467,0.37,1.4408905595682469,18.38068685583801,8.428461760626186
900,ols,-0.6565339968235326,-0.03735089624842516,0.1280293423683515,3.496855571318365,1.3833907719000418,0.07870252788471482,4.725211721771096,0.4975,1.4016354729917395,10.873819178636797,6.482738539652047
1600,plugin,0.2613268888092542,0.014867156244860503,,2.5873894314585,1.084722122352621,0.06171096035603209,4.052894151046945,,,,0
1600,ipw,-0.12270371836051201,-0.006980741097876981,0.7133542436114706,3.6625717059137695,1.7911234277128318,0.10189885922176779,6.636419640203468,0.935,3.289649529024944,21.411506728714947,9.096850710826162
1600,onestep,0.10687270567738626,0.00608009845774595,0.2725489159149339,2.3246935494793863,1.0463729919957137,0.059529238775568136,3.542071786921346,0.9425,2.0433398338568836,8.347272333106579,5.679887633656317
1600,tmle,0.10303569675037463,0.005861807062280528,0.2725489159149339,2.324836538261224,1.0473194952946603,0.05958308632449748,3.5369785231846995,0.935,2.0433398338568836,8.323597130883384,5.6718270380011075
1600,plugin_iid,-1.3972554117427265,-0.07949130154577642,,7.576432886481828,0.9421141338973095,0.053597844802592394,5.102499922294859,,,,0
1600,ipw_iid,-1.2432529833026953,-0.070729944549034,0.09027162412143705,6.7720430961082005,1.3322497767388597,0.0757930639216172,7.107989861702664,0.14,1.1748434706141584,48.08847285759911,13.632890466865355
1600,onestep_iid,-1.0374205916985237,-0.05901992748888298,0.07591961329987856,5.695013268128894,0.9959733375506726,0.056661950450453115,5.10584620113323,0.1725,1.079183691543057,33.867588281891784,11.440884162608913
1600,tmle_iid,-0.9871070898006263,-0.056157540471035314,0.07591961329987856,5.662176886182099,1.182982463621342,0.06730109251951441,5.281229644366029,0.18,1.079183691543057,30.87339846127508,10.923446141784197
1600,ols,-0.6984934081992216,-0.03973801043980137,0.07151517700597754,4.0697252557130374,1.0103712522444335,0.05748106266782834,4.626212262439156,0.34,1.0476766639421569,16.443713697763624,7.9720021289240925
