samples,method,bias,pct_bias,variance,scaled_bias,ci_bias,ci_pct_bias,ci_scaled_bias,coverage,scaled_mse,ci_scaled_mse
100,plugin,0.07737550070301061,0.007464194037970427,,0.7737550070301072,1.9132947046527709,0.18457008739969166,19.132947046527704,,,0
100,ipw,0.6506403355788415,0.06276541889313665,2.3258450144820557,6.506403355788407,2.297797530241425,0.2216619791776526,22.977975302414247,0.97,274.9177860764203,32.576480402567384
100,onestep,0.18422399100533332,0.017771563386595572,0.5575068602295661,1.8422399100533333,1.9229903026838502,0.18550539410996317,19.229903026838514,0.826,59.14453390914992,15.109846374199861
100,tmle,0.17561926388976257,0.016941489884636257,0.5575068602295661,1.7561926388976288,1.9221864279704655,0.18542784660735054,19.221864279704654,0.83,58.83489860787482,15.070242704023894
100,plugin_iid,-1.2153544426368146,-0.11724177940469968,,-12.15354442636815,2.0917913346622568,0.20178914859360247,20.91791334662258,,,0
100,ipw_iid,-1.250817258593858,-0.1206627761934923,0.363878250804983,-12.508172585938595,2.0313683413945722,0.19596031463443897,20.31368341394573,0.476,192.84220652012368,27.283732819666216
100,onestep_iid,-1.1586341918327483,-0.11177013845844054,0.34714904602963736,-11.586341918327484,2.0828930376881276,0.20093075524404183,20.828930376881285,0.48,168.95822365135632,25.538324994643933
100,tmle_iid,-1.1575638589788795,-0.11166688649840287,0.34714904602963736,-11.57563858978879,2.0829493758607356,0.2009361900269933,20.829493758607356,0.48,168.71031336437125,25.519582084489457
100,ols,-1.1005463985719801,-0.10616657458878517,0.1202866765473885,-11.005463985719793,2.128350439249508,0.2053159012222039,21.283504392495075,0.306,133.1489051957144,22.67104515081681
900,plugin,0.061524000965112215,0.005935045033938087,,1.8457200289533664,0.7068719469913747,0.06818992218988332,21.206158409741235,,,0
900,ipw,0.07588318824031917,0.007320234907682338,0.42471644650322077,2.2764956472095763,0.9554701039128132,0.09217147790046548,28.664103117384407,0.988,387.4272342846628,38.67210525376183
900,onestep,0.07357826356433225,0.007097885393066476,0.10005522890701848,2.2073479069299644,0.7003950993390061,0.0675651191554292,21.0118529801702,0.896,94.92209079854474,19.141959355715382
900,tmle,0.07304278261336623,0.007046229071810625,0.10005522890701848,2.1912834784009885,0.7005643043771383,0.0675814418832351,21.016929131314154,0.896,94.85142929902976,19.134833241245143
900,plugin_iid,-1.3878246294573728,-0.1338794867991229,,-41.63473888372125,0.7559235942832492,0.07292179481031333,22.677707828497457,,,0
900,ipw_iid,-1.4185766834077,-0.13684604980247472,0.04279484363375847,-42.55730050223111,0.7514444834130403,0.07248970774982186,22.54333450239121,0.0,1849.639185307574,84.4979651804524
900,onestep_iid,-1.343480814379719,-0.129601765335401,0.039934268191058955,-40.30442443139153,0.7570026632836272,0.07302588952150753,22.71007989850883,0.002,1660.3874701177067,80.05850310708857
900,tmle_iid,-1.3437253106166738,-0.12962535119058252,0.039934268191058955,-40.3117593185002,0.7570511978412524,0.07303057151196142,22.711535935237595,0.002,1660.9787807246419,80.0727573787386
900,ols,-1.2880739747366818,-0.12425682542071467,0.03917654642818113,-38.64221924210043,0.7735903544252916,0.0746260568121662,23.207710632758737,0.008,1528.4799997399216,76.81262767608818
2500,plugin,0.026444747259042313,0.002551049402371079,,1.3222373629521151,0.394231040692303,0.038030344964266785,19.711552034615153,,,0
2500,ipw,0.25478446164893626,0.02457833089710135,0.19096768270034975,12.739223082446815,0.5044288875561093,0.04866081719494269,25.221444377805465,0.994,639.70701149522,49.69278044252976
2500,onestep,0.030088653974666778,0.0029025666983441435,0.03889798900874879,1.5044326987333387,0.39190927940070663,0.03780637126932628,19.59546397003533,0.954,99.50829026689004,19.598930556561374
2500,tmle,0.029862127230445325,0.0028807143089147258,0.03889798900874879,1.493106361522267,0.3919336617006215,0.03780872336031118,19.59668308503107,0.954,99.47433912869022,19.595586801156156
2500,plugin_iid,-1.4106666699822812,-0.13608299335031787,,-70.53333349911405,0.43481250869935845,0.04194512352851799,21.740625434967917,,,0
2500,ipw_iid,-1.2522797030818218,-0.12080385404538017,0.01900792946174777,-62.613985154091175,0.4495465511405901,0.0433664746118172,22.477327557029508,0.0,3968.0309605311086,123.76284038976377
2500,onestep_iid,-1.3122738494481168,-0.12659131836615037,0.015179245530093224,-65.61369247240569,0.4416279486005318,0.042602589592249746,22.0813974300266,0.0,4343.10475368868,129.4800606552334
2500,tmle_iid,-1.3150840647505162,-0.12686241182745311,0.015179245530093224,-65.75420323752584,0.4413652190264002,0.04257724481899447,22.068260951320017,0.0,4361.563357227083,129.7549201359194
2500,ols,-1.3234423102442703,-0.1276687079498112,0.02348542533741718,-66.17211551221351,0.4410099292473228,0.04254297102655833,22.05049646236616,0.0,4437.462434705271,130.87903576319323
